ID,KECAMATAN,AREA,Penduduk,Luas(m2)
1,ASEMROWO,BARAT,45592,15820
2,BENOWO,BARAT,71062,25030
3,BUBUTAN,PUSAT,90650,3910
4,BULAK,UTARA,44155,6320
5,DUKUH PAKIS,SELATAN,56746,10350
6,GAYUNGAN,SELATAN,41297,5910
7,GENTENG,PUSAT,53170,4090
8,GUBENG,TIMUR,124008,7930
9,GUNUNG ANYAR,SELATAN,62556,10090
10,JAMBANGAN,SELATAN,50535,4120
11,KARANG PILANG,SELATAN,74825,9570
12,KENJERAN,UTARA,181917,8560
13,KREMBANGAN,UTARA,109123,8620
14,LAKARSANTRI,BARAT,59473,19030
15,MULYOREJO,SELATAN,86578,17440
16,PABEAN CANTIKAN,UTARA,70835,5410
17,PAKAL,BARAT,60846,18690
18,RUNGKUT,SELATAN,123841,22710
19,SAMBIKEREP,BARAT,63790,17120
20,SAWAHAN,SELATAN,189252,7160
21,SEMAMPIR,UTARA,173232,9060
22,SIMOKERTO,PUSAT,87074,2630
23,SUKO MANUNGGAL,BARAT,101318,9110
24,SUKOLILO,SELATAN,110588,30100
25,TAMBAK SARI,SELATAN,215175,8970
26,TANDES,BARAT,87544,9410
27,TEGALSARI,PUSAT,92032,4330
28,TENGGILIS MEJOYO,SELATAN,61229,5990
29,WIYUNG,SELATAN,71654,12140
30,WONOCOLO,SELATAN,75366,6550
31,WONOKROMO,SELATAN,144 821,8280
